Kebangsaan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Brunei Darussalam,747,1251,999,857,1359,-,-,-,-,-,-,-,-
Malaysia,155213,218057,160269,170644,200070,-,-,-,-,-,-,-,-
Philippines,16937,18367,20469,17726,19462,-,-,-,-,-,-,-,-
Singapore,87248,114301,120040,81225,111021,-,-,-,-,-,-,-,-
Thailand,8449,8666,8691,9791,11081,-,-,-,-,-,-,-,-
Vietnam,6772,9566,9151,9690,10191,-,-,-,-,-,-,-,-
Laos,169,211,198,261,255,-,-,-,-,-,-,-,-
Kamboja,737,790,778,923,935,-,-,-,-,-,-,-,-
Myanmar/Burma,2818,4176,3932,4778,4379,-,-,-,-,-,-,-,-
Indonesia,35180,52856,37114,75260,37471,-,-,-,-,-,-,-,-
A S E A N,314270,428241,361641,371155,396224,-,-,-,-,-,-,-,-
Hong Kong,1475,1741,2313,2058,2610,-,-,-,-,-,-,-,-
India,42713,48778,55112,55621,81095,-,-,-,-,-,-,-,-
Japan,19322,26585,26954,21021,23586,-,-,-,-,-,-,-,-
South Korea,39195,33617,24972,28160,32031,-,-,-,-,-,-,-,-
Pakistan,1661,2066,934,1302,1416,-,-,-,-,-,-,-,-
Bangladesh,658,999,640,868,791,-,-,-,-,-,-,-,-
Srilanka,681,767,746,795,803,-,-,-,-,-,-,-,-
Taiwan,12788,20456,15117,14216,14822,-,-,-,-,-,-,-,-
China,81691,110320,94364,85957,98631,-,-,-,-,-,-,-,-
Other Asia,63312,49844,68484,70691,66325,-,-,-,-,-,-,-,-
Afganistan,16,19,7,26,14,-,-,-,-,-,-,-,-
Bhutan,84,29,36,32,68,-,-,-,-,-,-,-,-
British Indian Ocean Teritory,0,0,0,0,0,-,-,-,-,-,-,-,-
Kazakhstan,1411,1254,1453,1490,1474,-,-,-,-,-,-,-,-
Kirgistan,103,111,86,86,88,-,-,-,-,-,-,-,-
Korea Utara,0,2,1,0,36,-,-,-,-,-,-,-,-
Macao,70,69,75,72,78,-,-,-,-,-,-,-,-
Mongolia,706,279,285,228,190,-,-,-,-,-,-,-,-
Maladewa,224,246,150,277,426,-,-,-,-,-,-,-,-
Nepal,505,785,624,665,694,-,-,-,-,-,-,-,-
Stateless,1,3,1,1,2,-,-,-,-,-,-,-,-
Tajikhistan,43,28,18,26,53,-,-,-,-,-,-,-,-
Tibet,0,0,0,0,0,-,-,-,-,-,-,-,-
Timor Leste,55324,43190,62800,61926,59049,-,-,-,-,-,-,-,-
Turki,3625,3047,2524,5411,3695,-,-,-,-,-,-,-,-
Turkmenistan,16,16,29,19,34,-,-,-,-,-,-,-,-
Uzbekistan,1178,760,389,429,422,-,-,-,-,-,-,-,-
Lain-lain,6,6,6,3,2,-,-,-,-,-,-,-,-
TOTAL ASIA (Excl.ASEAN),263496,295173,289636,280689,322110,-,-,-,-,-,-,-,-
Saudi Arabia,9314,8452,1062,8644,10159,-,-,-,-,-,-,-,-
Bahrain,167,131,29,161,165,-,-,-,-,-,-,-,-
Kuwait,391,292,68,299,341,-,-,-,-,-,-,-,-
Egypt,1293,1310,601,1805,1740,-,-,-,-,-,-,-,-
Uni Emirat Arab,620,642,292,865,694,-,-,-,-,-,-,-,-
Yaman,506,539,161,357,523,-,-,-,-,-,-,-,-
Qatar,92,67,47,109,116,-,-,-,-,-,-,-,-
Other Middle East,2889,2648,3327,2754,3000,-,-,-,-,-,-,-,-
Irak,283,328,194,293,299,-,-,-,-,-,-,-,-
Iran,367,615,2265,360,611,-,-,-,-,-,-,-,-
Israel,31,31,23,7,27,-,-,-,-,-,-,-,-
Jordan,486,490,333,740,505,-,-,-,-,-,-,-,-
Libanon,183,192,206,488,321,-,-,-,-,-,-,-,-
Oman,1269,706,81,556,875,-,-,-,-,-,-,-,-
Palestina,134,141,125,163,190,-,-,-,-,-,-,-,-
Syiria,136,145,100,147,172,-,-,-,-,-,-,-,-
